Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
64,901.09,18.694,0,0,9.5,43.815,27.36,32.247,76.05,-22.536,-61.783,79.188,-37.056,46.289,-11.55
65,907.8,18.888,0,0,9.5,44.745,27.055,31.653,72.806,-23.48,-61.775,78.991,-37.596,46.023,-8.9809
66,931.2,19.086,0,0,9.5,44.646,27.327,30.321,71.402,-22.942,-62.142,78.631,-37.294,46.182,-7.6639
67,964.26,19.288,0,0,9.5,45.581,28.114,30.578,69.624,-22.197,-63.705,78.815,-37.584,47.628,-6.9344
68,980.62,19.492,0,0,9.5,44.278,27.603,32.48,68.367,-19.755,-63.261,80.308,-36.324,48.16,-7.3966
69,1021.2,19.697,0,0,9.5,41.86,27.046,32.467,67.723,-20.761,-64.016,80.746,-36.95,48.131,-6.7403
70,1047.5,19.903,0,0,8.4444,41.802,28.201,31.843,69.692,-21.533,-67.169,80.664,-37.62,48.114,-6.0994
71,1073.4,20.109,0,0,7.3889,40.934,27.186,31.042,66.807,-21.099,-65.602,82.13,-37.427,48.392,-6.6156
72,1072.9,20.313,0,0,6.3333,39.384,26.706,32.141,67.647,-19.482,-64.258,80.403,-37.315,47.636,-5.6422
73,1111.7,20.515,0,0,5.2778,38.303,25.427,33.062,68.753,-20.215,-63.264,81.536,-36.752,47.7,-5.9093
74,1153.3,20.713,0,0,4.2222,39.001,24.889,33.564,68.751,-19.467,-63.521,79.909,-35.36,47.929,-5.1147
75,1163.8,20.908,0,0,3.1667,39.701,25.624,33.537,69.29,-19.195,-63.01,79.204,-36.215,49.631,-2.9755
76,1187.6,21.098,0,0,2.1111,40.487,26.02,31.462,70.584,-21.087,-62.004,79.961,-34.721,49.173,-4.6085
77,1206.3,21.282,0,0,1.0556,39.625,25.319,31.538,71.388,-19.883,-61.07,80.05,-35.203,50.534,-4.3818
78,1226.8,21.459,0,0,0,40.371,23.446,32.558,72.108,-21.704,-59.439,80.986,-33.929,49.129,-3.5572
79,1260.6,21.629,0,0,0,40.303,24.69,32.008,72.986,-21.429,-60,79.262,-34.038,49.628,-2.7416
80,1296.4,21.79,0,0,0,40.152,26.293,31.669,71.342,-21.898,-59.079,80.561,-34.361,48.429,-4.0465
81,1307.4,21.943,0,0,0,38.348,26.111,31.692,71.535,-21.769,-58.828,80.055,-34.599,48.605,-4.9603
82,1342.5,22.086,0,0,0,35.773,25.227,31.669,72.708,-22.307,-59.853,79.448,-33.996,49.318,-5.5759
83,1374.8,22.219,0,0,0,37.755,24.846,31.979,71.57,-21.712,-58.645,81.922,-33.804,48.791,-6.2459
84,1382.6,22.341,0,0,0,37.122,23.891,32.919,73.206,-21.755,-59.561,82.244,-34.136,49.08,-5.327
85,1391.4,22.452,0,0,0,38.107,23.314,33.341,75.888,-21.396,-58.467,82.91,-35.384,49.077,-5.2128
86,1438.4,22.552,0,0,0,39.279,23.731,33.154,75.844,-20.584,-59.075,83.157,-34.73,49.963,-4.224
87,1465.7,22.639,0,0,0,38.39,24.699,33.864,76.677,-20.936,-58.213,82.827,-34.112,48.627,-3.5504
88,1477.6,22.715,0,0,0,40.001,25.006,34.833,77.793,-20.301,-58.674,82.135,-33.8,49.028,-1.0629
89,1485,22.778,0,0,0,40.067,26.969,34.278,78.162,-20.141,-57.747,80.433,-35.036,48.433,-0.14158
90,1527.5,22.828,0,0,0,40.55,27.632,35.646,77.466,-19.831,-56.904,79.136,-34.496,49.685,-0.97927
91,1556.4,22.867,0,0,0,39.782,28.04,34.321,78.396,-20.408,-56.758,78.352,-34.042,48.933,-1.5643
92,1575.9,22.893,0,0,0,38.858,27.417,34.464,78.594,-20.899,-56.559,78.803,-34.144,48.906,-2.4019
93,1604.9,22.906,0,0,0,38.414,26.595,32.448,78.507,-20.846,-55.791,77.723,-33.768,49.886,-1.9014
94,1620.3,22.908,0,0,0,39.193,26.212,34.059,79.246,-21.689,-56.402,76.758,-34.689,49.931,-1.6266
95,1648,22.898,0,0,0,37.939,26.774,33.096,79.136,-22.387,-55.387,75.602,-35.11,49.393,-0.96332
96,1669.2,22.876,0,0,0,37.164,29.295,31.918,81.298,-21.053,-55.531,74.329,-35.929,50.567,-2.0419
97,1698.1,22.844,0,0,0,37.079,28.587,31.725,82.952,-21.415,-56.542,74.439,-36.258,50.168,-2.0252
98,1732.5,22.801,0,0,0,36.117,28.28,31.59,84.389,-20.775,-56.885,74.069,-37.693,48.297,-3.1754
99,1742.3,22.749,0,0,0,35.274,29.717,29.842,83.797,-21.265,-55.651,73.374,-37.686,48.103,-4.2609
100,1776.2,22.687,0,0,0,35.423,29.174,29.625,83.667,-21.989,-54.628,72.301,-37.89,47.619,-4.9419
101,1783.7,22.618,0,0,0,35.077,29.478,31.163,84.748,-21.903,-53.311,71.653,-37.025,47.342,-4.9308
102,1806,22.54,0,0,0,35.308,30.425,32.358,85.166,-22.593,-53.793,70.942,-38.001,46.66,-4.9384
103,1832.6,22.456,0,0,0,35.684,29.482,33.058,84.36,-21.715,-54.101,71.3,-38.337,47.026,-5.1643
104,1858.8,22.365,0,0,0,35.286,28.751,31.968,82.958,-21.297,-53.55,72.39,-38.603,46.128,-5.9911
105,1897.6,22.27,0,0,0,35.105,28.305,32.538,84.125,-20.763,-53.87,72.912,-39.273,48,-4.8401
106,1922.5,22.17,0,0,0,36.508,27.373,32.509,85.113,-21.202,-52.191,74.465,-38.904,49.131,-4.6669
107,1937.3,22.068,0,0,0,35.369,27.786,32.635,84.642,-21.851,-50.704,72.951,-39.649,49.142,-5.4575
108,1966.4,21.963,0,0,0,34.204,28.693,34.229,84.053,-22.559,-52.341,72.872,-40.209,50.823,-6.4463
109,2007.5,21.857,0,0,0,35.734,26.719,33.617,83.62,-24.446,-51.059,75.522,-41.659,49.811,-5.5921
110,2018,21.75,0,0,0,36.975,28.03,34.103,83.533,-24.642,-50.566,74.923,-39.699,49.882,-3.9404
111,2038.2,21.645,0,0,0,36.872,27.053,33.995,82.667,-26.249,-48.719,77.36,-41.102,50.773,-5.0055
112,2062.6,21.541,0,0,0,35.958,27.876,33.709,82.356,-25.851,-49.514,75.943,-42.002,50.006,-6.0203
113,2094.1,21.439,0,0,0,37.097,28.435,34.197,80.807,-26.176,-51.428,74.533,-41.573,49.661,-7.3074
114,2120.8,21.341,0,0,0,37.547,29.204,33.981,80.819,-27.213,-51.162,74.733,-41.427,49.451,-6.3599
115,2144,21.248,0,0,0,36.379,30.464,33.823,81.274,-28.862,-51.224,75.356,-40.737,49.667,-5.6373
116,2170.1,21.16,0,0,0,35.697,30.508,34.661,81.122,-28.781,-53.146,75.181,-41.096,51.074,-6.2717
117,2195,21.079,0,0,0,36.793,29.892,34.101,79.521,-29.233,-52.969,75.128,-40.024,51.614,-7.7095
118,2210,21.004,0,0,0,39.102,29.746,34.111,78.901,-27.801,-51.996,74.352,-37.852,52.968,-9.3497
119,2223.5,20.937,0,0,0,39.844,31.4,33.066,78.452,-29.595,-51.889,73.827,-39.592,53.624,-12.113
120,2259.4,20.878,0,0,0,38.268,29.13,32.446,79.13,-29.295,-52.288,75.369,-39.31,53.964,-11.708
121,2279,20.829,0,0,0,36.019,26.864,32.244,77.28,-28.274,-50.755,74.597,-40.319,52.89,-11.015
122,2309.9,20.789,0,0,0,36.358,25.593,32.013,76.298,-29.721,-49.9,77.202,-40.045,52.77,-12.047
123,2318.5,20.759,0,0,0,37.649,24.962,32.918,79.277,-29.66,-49.433,77.71,-39.463,51.643,-10.648
124,2375.7,20.74,0,0,0,36.241,26.297,32.263,78.31,-29.356,-51.238,79.547,-41.096,50.194,-12.353
125,2400,20.731,0,0,0,36.377,25.804,32.336,77.218,-30.162,-51.941,80.957,-40.998,49.377,-12.254
126,2401.9,20.734,0,0,0,36.754,25.765,32.396,78.35,-29.886,-52.921,82.756,-42.067,50.679,-13.858
127,2444.7,20.748,0,0,0,36.827,27.5,32.919,79.561,-29.355,-51.706,82.225,-41.926,50.395,-12.284
128,2462.4,20.773,0,0,0,36.152,26.874,32.657,78.816,-27.315,-52.28,82.704,-40.945,50.301,-12.739
129,2478.2,20.81,0,0,0,35.19,26.973,32.994,77.903,-27.082,-53.919,83.8,-41.588,49.325,-12.793
130,2515.1,20.859,0,0,0,33.386,26.349,31.004,77.877,-28.089,-54.64,84.82,-41.819,48.906,-12.766
131,2539.1,20.919,0,0,0,34.597,26.298,30.839,77.137,-29.155,-55.12,84.01,-42.089,49.049,-13.787
132,2549.9,20.99,0,0,0,35.285,26.542,29.64,77.098,-28.776,-54.747,83.398,-41.091,50.655,-14.596
133,2593.9,21.072,0,0,0,36.139,25.35,28.778,77.394,-28.046,-55.06,83.92,-41.187,51.096,-14.182
134,2587.3,21.165,0,0,0,36.563,24.576,28.657,77.179,-27.474,-56.59,84.17,-39.758,50.478,-14.071
135,2615.8,21.268,0,0,0,36.035,22.816,27.504,77.291,-26.084,-55.829,84.509,-39.898,50.083,-15.418
136,2650.3,21.381,0,0,0,36.416,23.454,27.795,77.377,-25.021,-53.163,85.499,-40.245,49.818,-14.047
137,2692.7,21.504,0,0,0,36.034,22.679,29.668,76.769,-25.538,-53.292,85.494,-38.994,50.185,-13.809
138,2713,21.635,0,0,0,35.551,24.585,29.567,76.583,-25.725,-55.061,85.935,-37.633,48.385,-14.118
139,2742.2,21.774,0,0,0,36.641,24.784,29.297,77.333,-23.919,-56.109,86.448,-37.528,47.201,-13.662
140,2754.2,21.921,0,0,0,37.661,23.545,29.236,76.34,-22.966,-56.071,84.787,-38.636,46.923,-11.588
141,2778.7,22.075,0,0,0,37.098,23.482,29.371,75.337,-22.254,-55.673,86.063,-39.73,45.876,-9.5421
142,2810.2,22.236,0,0,0,36.04,24.056,29.22,73.778,-22.568,-55.806,87.514,-40.957,46.188,-10.632
143,2838.6,22.401,0,0,0,36.082,23.897,28.787,73.189,-21.229,-55.84,89.474,-40.2,45.183,-10.003
144,2855.3,22.572,0,0,0,36.064,22.373,28.197,74.3,-22.187,-55.316,90.056,-38.235,45.604,-11.681
145,2883.9,22.746,0,0,0,34.801,23.256,28.247,73.736,-22.594,-54.233,89.875,-36.356,45.93,-10.85
146,2892.4,22.924,0,0,0,36.257,20.836,27.744,73.989,-22.723,-54.745,88.472,-36.681,44.811,-11.005
147,2913.6,23.103,0,0,0,35.504,21.614,27.011,75.094,-23.387,-56.513,89.335,-37.041,45.281,-13.519
148,2948.8,23.284,0,0,0,35.007,21.891,25.56,73.391,-23.806,-56.498,88.898,-36.372,45.809,-13.318
149,2989.6,23.466,0,0,0,35.766,22.657,25.416,73.103,-23.49,-57.315,87.864,-36.814,46.451,-13.419
150,2986.8,23.648,0,0,0,35.374,23.388,23.944,72.201,-22.706,-56.644,88.039,-38.765,46.017,-11.219
151,3008.8,23.828,0,0,0,34.461,22.77,24.776,74.181,-23.113,-58.518,88.873,-39.153,45.962,-12.167
152,3042.7,24.007,0,0,0,34.835,22.579,24.386,72.95,-22.794,-59.929,88.727,-37.752,45.85,-13.971
153,3088,24.184,0,0,0,35.849,23.476,22.514,73.18,-23.404,-58.908,88.009,-37.966,46.649,-13.268
154,3096.5,24.357,0,0,0,35.689,24.687,23.159,71.327,-22.734,-58.775,88.055,-38.486,46.659,-15.979
155,3125.2,24.526,0,0,0,34.422,25.821,22.374,70.378,-23.456,-59.435,89.549,-38.17,46.853,-15.279
156,3153,24.691,0,0,0,35.033,23.656,22.338,69.649,-23.082,-58.102,89.893,-37.353,47.002,-15.085
157,3168.2,24.85,0,0,0,34.759,25.008,23.061,70.54,-23.545,-57.795,90.287,-37.006,46.609,-15.493
158,3206.8,25.004,0,0,0,35.179,24.45,22.43,72.082,-23.026,-58.361,89.078,-37.808,48.085,-14.329
159,3223.6,25.151,0,0,0,37.318,23.854,22.657,72.061,-23.495,-58.15,90.548,-36.894,48.129,-14.374
160,3253,25.292,0,0,0,35.097,24.361,22.949,72.455,-22.637,-59.606,89.974,-37.039,46.481,-13.287
161,3259.1,25.425,0,0,0,34.42,23.711,22.147,71.855,-23.752,-57.257,89.293,-38.057,45.532,-13.899
162,3290.4,25.551,0,0,0,34.083,21.996,22.885,72.535,-22.48,-58.631,89.021,-37.67,45.069,-15.859
163,3308.8,25.668,0,0,0,34.205,20.037,23.109,71.35,-20.913,-58.171,89.011,-35.991,43.635,-15.408
164,3333.3,25.777,0,0,0,33.643,21.429,23.992,71.104,-22.548,-58.435,89.733,-34.038,44.42,-13.578
165,3368.9,25.878,0,0,0,34.278,22.152,25.332,70.153,-23.071,-57.936,89.138,-33.782,45.112,-12.851
166,3396.8,25.97,0,0,0,35.882,21.54,25.688,70.636,-21.997,-58.64,90.194,-34.833,44.138,-13.842
167,3410.5,26.053,0,0,0,36.746,20.589,25.402,70.568,-23.731,-58.297,89.119,-35.741,44.312,-14.709
168,3448.9,26.127,0,0,0,35.301,20.981,26.159,71.589,-24.081,-57.544,88.459,-36.156,46.056,-13.231
169,3469.6,26.192,0,0,0,33.571,20.153,27.089,71.875,-23.046,-57.456,89.186,-36.243,46.576,-12.095
170,3484.4,26.249,0,0,0,33.198,22.658,26.97,72.762,-22.426,-55.754,89.19,-36.947,47.587,-11.691
171,3491,26.296,0,0,0,33.141,23.077,28.294,74.012,-21.709,-56.618,89.638,-35.903,46.728,-11.381
172,3554.9,26.335,0,0,0,35.06,24.557,27.761,73.607,-20.847,-59.207,88.456,-36.393,46.763,-11.913
173,3537.2,26.365,0,0,0,33.612,23.34,27.046,72.956,-18.934,-59.98,88.761,-35.789,46.915,-11.335
174,3591.6,26.386,0,0,0,34.094,25.197,25.778,73.31,-18.782,-61.799,87.866,-35.686,46.073,-10.368
175,3623.4,26.4,0,0,0,33.758,24.898,24.28,73.621,-19.492,-61.495,87.992,-35.407,44.373,-9.314
176,3650,26.406,0,0,0,34.848,25.357,23.475,72.699,-19.481,-61.367,87.061,-34.852,43.73,-10.305
177,3651.5,26.405,0,0,0,33.887,23.512,23.584,71.434,-20.011,-62.236,88.112,-35.897,43.694,-8.9422
178,3684.5,26.396,0,0,0,35.744,22.541,23.72,70.903,-20.744,-62.94,90.221,-36.154,43.104,-7.0226
179,3718,26.381,0,0,0,34.792,22.346,24.048,71.066,-20.605,-64.156,89.761,-37.014,43.87,-6.3542
180,3728.2,26.36,0,0,0,33.731,21.564,24.762,72.093,-19.663,-63.42,90.189,-37.254,44.029,-6.2345
181,3775.6,26.333,0,0,0,34.691,21.142,24.968,71.136,-18.511,-63.922,90.185,-38.869,43.789,-6.257
182,3781.6,26.301,0,0,0,35.209,21.43,25.538,70.159,-20.005,-63.623,91.995,-39.454,45.355,-7.8221
183,3807,26.265,0,0,0,34.794,21.822,25.796,70.942,-19.771,-62.801,92.087,-39.194,45.971,-7.1135
184,3830.2,26.225,0,0,0,35.123,22.02,26.408,70.83,-20.427,-64.174,89.24,-38.736,46.591,-7.1576
185,3852.7,26.181,0,0,0,33.377,22.028,24.808,71.885,-19.28,-63.857,88.802,-39.217,46.131,-9.1432
186,3895.3,26.135,0,0,0,32.57,22.218,25.663,72.466,-20.149,-64.145,90.84,-39.984,46.22,-10.015
187,3898.6,26.086,0,0,0,32.903,23.107,27.118,73.805,-19.607,-64.169,90.214,-38.68,45.805,-11.085
188,3939.2,26.037,0,0,0,32.714,22.821,26.801,75.406,-19.597,-63.165,90.884,-39.702,46.077,-11.79
189,3950.1,25.986,0,0,0,31.306,23.693,28.233,74.332,-18.334,-63.601,90.51,-39.747,46.622,-10.968
190,3977.1,25.935,0,0,0,32.315,23.521,27.271,72.937,-19.972,-63.876,90.139,-40.177,46.605,-10.744
191,4021.7,25.885,0,0,0,30.611,23.435,28.344,72.331,-20.771,-65.899,90.474,-40.465,47.495,-10.597
192,4020.1,25.836,0,0,0,31.435,23.92,28.305,73.179,-19.683,-66.547,90.297,-39.327,47.053,-9.9535
193,4055.5,25.79,0,0,0,30.983,23.685,30.59,71.995,-20.221,-64.897,91.496,-38.085,47.703,-10.293
194,4076.8,25.745,0,0,0,29.007,22.037,30.56,71.821,-20.654,-65.403,90.611,-37.923,47.535,-10.586
195,4094.4,25.704,0,0,0,29.524,22.563,30.259,70.701,-21.796,-64.831,90.419,-37.562,46.757,-10.651
196,4114.9,25.668,0,0,0,29.734,21.901,30.065,70.634,-21.744,-65.505,90.588,-38.413,44.936,-9.4176
197,4131.7,25.635,0,0,0,29.735,22.223,28.376,68.304,-21.454,-66.037,90.425,-40.51,43.602,-8.4587
198,4170.9,25.609,0,0,0,29.567,22.308,26.801,67.08,-22.457,-67.185,91.182,-39.33,43.51,-7.2153
199,4211.4,25.588,0,0,0,27.471,21.706,26.512,67.83,-24,-68.132,89.43,-37.378,44.43,-8.5551
200,4214.3,25.573,0,0,0,27.713,21.816,23.981,66.277,-24.14,-67.962,88.656,-37.786,44.93,-7.813
201,4251.5,25.566,0,0,0,27.35,21.135,22.582,67.161,-23.88,-67.892,88.662,-37.369,45.391,-6.6139
202,4289.3,25.567,0,0,0,28.605,21.13,22.447,67.01,-23.227,-67.605,88.866,-37.364,43.72,-7.2488
203,4286.8,25.576,0,0,0,30.577,21.207,21.856,66.205,-24.677,-67.379,90.328,-38.893,43.024,-7.3154
204,4319.5,25.594,0,0,0,30.691,21.592,22.942,64.932,-25.289,-67.558,91.919,-38.642,43.776,-6.486
205,4338.7,25.621,0,0,0,31.68,22.593,21.992,65.222,-25.129,-67.334,94.088,-37.72,43.053,-4.837
206,4366.8,25.659,0,0,0,33.231,22.942,23.155,65.98,-24.873,-67.199,92.82,-39.913,43.192,-4.2212
207,4397.3,25.707,0,0,0,34.252,23.623,20.822,65.633,-25.359,-68.2,93.03,-39.172,42.354,-4.3842
208,4408.5,25.765,0,0,0,34.502,24.208,21.807,65.827,-23.948,-66.702,91.966,-40.911,41.56,-4.3076
209,4442.7,25.835,0,0,0,33.541,24.449,24.403,64.963,-23.593,-66.531,92.846,-41.533,42.045,-0.73419
210,4462.3,25.916,0,0,0,35.868,25.126,25.824,63.871,-23.085,-67.513,93.208,-40.108,43.418,-1.0735
211,4488.7,26.008,0,0,0,35.654,26.826,24.053,64.15,-22.836,-66.752,93.558,-39.072,43.252,-1.1387
212,4509.4,26.113,0,0,0,37.323,26.391,24.501,63.203,-24.187,-66.861,95.075,-39.595,43.242,-0.71356
213,4534.4,26.23,0,0,0,37.057,26.202,24.365,64.849,-25.434,-66.347,94.565,-38.465,43.695,0.47296
214,4558.1,26.36,0,0,0,37.303,27.224,23.256,65.317,-24.904,-64.726,95.103,-38.983,43.904,0.61391
215,4594,26.501,0,0,0,37.233,27.54,23.247,66.574,-26.789,-65.664,96.702,-38.879,44.047,1.0119
216,4613.8,26.656,0,0,0,35.265,26.946,23.879,64.838,-27.638,-64.83,97.389,-37.762,45.03,1.4412
217,4665.8,26.822,0,0,0,32.251,29.434,25.168,65.007,-26.573,-64.328,95.751,-37.755,45.792,0.74942
218,4668.3,27.001,0,0,0,29.832,29.911,24.392,64.148,-26.803,-65.696,96.123,-38.617,46.898,-0.79028
219,4693.2,27.193,0,0,0,30.929,30.873,24.209,63.665,-26.374,-65.826,98.39,-39.334,47.085,-0.84485
220,4706,27.396,0,0,0,31.532,32.099,23.825,65.065,-26.01,-65.316,97.122,-39.052,47.124,0.64775
221,4743.5,27.611,0,0,0,32.404,31.809,24.461,64.896,-26.122,-64.812,96.257,-39.452,49.379,0.71402
222,4760.3,27.838,0,0,0,32.066,31.055,22.919,64.678,-26.24,-63.213,95.79,-41.069,48.94,-0.19254
223,4782.2,28.075,0,0,0,30.428,30.349,23.256,63.149,-25.569,-61.813,95.009,-40.962,48.689,0.61312
